# Copyright (C) 2017  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details.

# Quartus Prime Version 17.1.0 Build 590 10/25/2017 SJ Lite Edition
# File: /media/lampa/42583FF2583FE379/#Univer/digital_lab/boards/DE0-CV/DE0_CV_Default.csv
# Generated on: Sun Sep  2 17:59:15 2018

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage,Strict Preservation
CLOCK2_50,Unknown,PIN_H13,7A,B7A_N0,3.3-V LVTTL,,,,,,,,,,,,,
CLOCK3_50,Unknown,PIN_E10,8A,B8A_N0,3.3-V LVTTL,,,,,,,,,,,,,
CLOCK4_50,Unknown,PIN_V15,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
CLOCK_50,Unknown,PIN_M9,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_ADDR[0],Unknown,PIN_W8,3A,B3A_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_ADDR[1],Unknown,PIN_T8,3A,B3A_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_ADDR[2],Unknown,PIN_U11,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_ADDR[3],Unknown,PIN_Y10,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_ADDR[4],Unknown,PIN_N6,3A,B3A_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_ADDR[5],Unknown,PIN_AB10,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_ADDR[6],Unknown,PIN_P12,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_ADDR[7],Unknown,PIN_P7,3A,B3A_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_ADDR[8],Unknown,PIN_P8,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_ADDR[9],Unknown,PIN_R5,3A,B3A_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_ADDR[10],Unknown,PIN_U8,3A,B3A_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_ADDR[11],Unknown,PIN_P6,3A,B3A_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_ADDR[12],Unknown,PIN_R7,3A,B3A_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_BA[0],Unknown,PIN_T7,3A,B3A_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_BA[1],Unknown,PIN_AB7,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_CAS_N,Unknown,PIN_V6,3A,B3A_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_CKE,Unknown,PIN_R6,3A,B3A_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_CLK,Unknown,PIN_AB11,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_CS_N,Unknown,PIN_U6,3A,B3A_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_DQ[0],Unknown,PIN_Y9,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_DQ[1],Unknown,PIN_T10,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_DQ[2],Unknown,PIN_R9,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
