# Copyright (C) 2017  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details.

# Quartus Prime Version 17.1.0 Build 590 10/25/2017 SJ Lite Edition
# File: /media/lampa/42583FF2583FE379/#Univer/digital_lab/boards/DE10-Lite/DE10_LITE_Default.csv
# Generated on: Sun Sep  2 18:08:37 2018

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
ADC_CLK_10,Unknown,PIN_N5,2,B2_N0,3.3-V LVTTL,,,,,
MAX10_CLK1_50,Unknown,PIN_P11,3,B3_N0,3.3-V LVTTL,,,,,
MAX10_CLK2_50,Unknown,PIN_N14,6,B6_N0,3.3-V LVTTL,,,,,
DRAM_ADDR[0],Unknown,PIN_U17,5,B5_N0,3.3-V LVTTL,,,,,
DRAM_ADDR[1],Unknown,PIN_W19,5,B5_N0,3.3-V LVTTL,,,,,
DRAM_ADDR[2],Unknown,PIN_V18,5,B5_N0,3.3-V LVTTL,,,,,
DRAM_ADDR[3],Unknown,PIN_U18,5,B5_N0,3.3-V LVTTL,,,,,
DRAM_ADDR[4],Unknown,PIN_U19,5,B5_N0,3.3-V LVTTL,,,,,
DRAM_ADDR[5],Unknown,PIN_T18,5,B5_N0,3.3-V LVTTL,,,,,
DRAM_ADDR[6],Unknown,PIN_T19,5,B5_N0,3.3-V LVTTL,,,,,
DRAM_ADDR[7],Unknown,PIN_R18,5,B5_N0,3.3-V LVTTL,,,,,
DRAM_ADDR[8],Unknown,PIN_P18,5,B5_N0,3.3-V LVTTL,,,,,
DRAM_ADDR[9],Unknown,PIN_P19,5,B5_N0,3.3-V LVTTL,,,,,
DRAM_ADDR[10],Unknown,PIN_T20,5,B5_N0,3.3-V LVTTL,,,,,
DRAM_ADDR[11],Unknown,PIN_P20,5,B5_N0,3.3-V LVTTL,,,,,
DRAM_ADDR[12],Unknown,PIN_R20,5,B5_N0,3.3-V LVTTL,,,,,
DRAM_BA[0],Unknown,PIN_T21,5,B5_N0,3.3-V LVTTL,,,,,
DRAM_BA[1],Unknown,PIN_T22,5,B5_N0,3.3-V LVTTL,,,,,
DRAM_CAS_N,Unknown,PIN_U21,5,B5_N0,3.3-V LVTTL,,,,,
DRAM_CKE,Unknown,PIN_N22,5,B5_N0,3.3-V LVTTL,,,,,
DRAM_CLK,Unknown,PIN_L14,6,B6_N0,3.3-V LVTTL,,,,,
DRAM_CS_N,Unknown,PIN_U20,5,B5_N0,3.3-V LVTTL,,,,,
DRAM_DQ[0],Unknown,PIN_Y21,5,B5_N0,3.3-V LVTTL,,,,,
DRAM_DQ[1],Unknown,PIN_Y20,5,B5_N0,3.3-V LVTTL,,,,,
DRAM_DQ[2],Unknown,PIN_AA22,5,B5_N0,3.3-V LVTTL,,,,,
DRAM_DQ[3],Unknown,PIN_AA21,5,B5_N0,3.3-V LVTTL,,,,,
DRAM_DQ[4],Unknown,PIN_Y22,5,B5_N0,3.3-V LVTTL,,,,,
DRAM_DQ[5],Unknown,PIN_W22,5,B5_N0,3.3-V LVTTL,,,,,
DRAM_DQ[6],Unknown,PIN_W20,5,B5_N0,3.3-V LVTTL,,,,,
DRAM_DQ[7],Unknown,PIN_V21,5,B5_N0,3.3-V LVTTL,,,,,
DRAM_DQ[8],Unknown,PIN_P21,5,B5_N0,3.3-V LVTTL,,,,,
DRAM_DQ[9],Unknown,PIN_J22,6,B6_N0,3.3-V LVTTL,,,,,
DRAM_DQ[10],Unknown,PIN_H21,6,B6_N0,3.3-V LVTTL,,,,,
DRAM_DQ[11],Unknown,PIN_H22,6,B6_N0,3.3-V LVTTL,,,,,
DRAM_DQ[12],Unknown,PIN_G22,6,B6_N0,3.3-V LVTTL,,,,,
DRAM_DQ[13],Unknown,PIN_G20,6,B6_N0,3.3-V LVTTL,,,,,
DRAM_DQ[14],Unknown,PIN_G19,6,B6_N0,3.3-V LVTTL,,,,,
DRAM_DQ[15],Unknown,PIN_F22,6,B6_N0,3.3-V LVTTL,,,,,
DRAM_LDQM,Unknown,PIN_V22,5,B5_N0,3.3-V LVTTL,,,,,
DRAM_RAS_N,Unknown,PIN_U22,5,B5_N0,3.3-V LVTTL,,,,,
DRAM_UDQM,Unknown,PIN_J21,6,B6_N0,3.3-V LVTTL,,,,,
DRAM_WE_N,Unknown,PIN_V20,5,B5_N0,3.3-V LVTTL,,,,,
HEX0[0],Unknown,PIN_C14,7,B7_N0,3.3-V LVTTL,,,,,
HEX0[1],Unknown,PIN_E15,7,B7_N0,3.3-V LVTTL,,,,,
HEX0[2],Unknown,PIN_C15,7,B7_N0,3.3-V LVTTL,,,,,
HEX0[3],Unknown,PIN_C16,7,B7_N0,3.3-V LVTTL,,,,,
HEX0[4],Unknown,PIN_E16,7,B7_N0,3.3-V LVTTL,,,,,
HEX0[5],Unknown,PIN_D17,7,B7_N0,3.3-V LVTTL,,,,,
HEX0[6],Unknown,PIN_C17,7,B7_N0,3.3-V LVTTL,,,,,
