# Copyright (C) 2017  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details.

# Quartus Prime Version 17.1.0 Build 590 10/25/2017 SJ Lite Edition
# File: /media/lampa/42583FF2583FE379/#Univer/digital_lab/boards/DE10-Nano/DE10_Nano_Default.csv
# Generated on: Sun Sep  2 18:05:36 2018

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage,Strict Preservation
ADC_CONVST,Unknown,PIN_U9,3A,B3A_N0,3.3-V LVTTL,,,,,,,,,,,,,
ADC_SCK,Unknown,PIN_V10,3A,B3A_N0,3.3-V LVTTL,,,,,,,,,,,,,
ADC_SDI,Unknown,PIN_AC4,3A,B3A_N0,3.3-V LVTTL,,,,,,,,,,,,,
ADC_SDO,Unknown,PIN_AD4,3A,B3A_N0,3.3-V LVTTL,,,,,,,,,,,,,
ARDUINO_IO[0],Unknown,PIN_AG13,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
ARDUINO_IO[1],Unknown,PIN_AF13,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
ARDUINO_IO[2],Unknown,PIN_AG10,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
ARDUINO_IO[3],Unknown,PIN_AG9,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
ARDUINO_IO[4],Unknown,PIN_U14,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
ARDUINO_IO[5],Unknown,PIN_U13,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
